,Country/Region,5/30/20
0,Afghanistan,14525
1,Albania,1122
2,Algeria,9267
3,Andorra,764
4,Angola,84
5,Antigua and Barbuda,25
6,Argentina,16214
7,Armenia,8927
8,Australia,107
9,Australia,3095
10,Australia,29
11,Australia,1058
12,Australia,440
13,Australia,228
14,Australia,1649
15,Australia,586
16,Austria,16685
17,Azerbaijan,5246
18,Bahamas,102
19,Bahrain,10793
20,Bangladesh,44608
21,Barbados,92
22,Belarus,41658
23,Belgium,58186
24,Benin,224
25,Bhutan,33
26,Bolivia,9592
27,Bosnia and Herzegovina,2494
28,Brazil,498440
29,Brunei,141
30,Bulgaria,2499
31,Burkina Faso,847
32,Cabo Verde,421
33,Cambodia,125
34,Cameroon,5904
35,Canada,6992
36,Canada,2573
37,Canada,13
38,Canada,294
39,Canada,129
40,Canada,261
41,Canada,1056
42,Canada,29023
43,Canada,27
44,Canada,50651
45,Canada,645
46,Central African Republic,962
47,Chad,759
48,Chile,94858
49,China,991
50,China,593
51,China,579
52,China,358
53,China,139
54,China,1593
55,China,254
56,China,147
57,China,169
58,China,328
59,China,945
60,China,1276
61,China,1082
62,China,68135
63,China,1019
64,China,232
65,China,653
66,China,937
67,China,155
68,China,149
69,China,45
70,China,75
71,China,18
72,China,308
73,China,792
74,China,672
75,China,198
76,China,564
77,China,192
78,China,1
79,China,76
80,China,185
81,China,1268
82,Colombia,26734
83,Congo (Brazzaville),571
84,Congo (Kinshasa),2966
85,Costa Rica,1047
86,Cote d'Ivoire,2799
87,Croatia,2246
88,Diamond Princess,712
89,Cuba,2025
90,Cyprus,944
91,Czechia,9230
92,Denmark,187
93,Denmark,13
94,Denmark,11633
95,Djibouti,3194
96,Dominican Republic,16908
97,Ecuador,38571
98,Egypt,23449
99,El Salvador,2395
100,Equatorial Guinea,1306
101,Eritrea,39
102,Estonia,1865
103,Eswatini,283
104,Ethiopia,1063
105,Fiji,18
106,Finland,6826
107,France,477
108,France,60
109,France,162
110,France,1699
111,France,19
112,France,471
113,France,6
114,France,41
115,France,200
116,France,185616
117,Gabon,2655
118,Gambia,25
119,Georgia,757
120,Germany,183189
121,Ghana,7768
122,Greece,2915
123,Guatemala,4739
124,Guinea,3706
125,Guyana,152
126,Haiti,1865
127,Holy See,12
128,Honduras,5094
129,Hungary,3867
130,Iceland,1806
131,India,181827
132,Indonesia,25773
133,Iran,148950
134,Iraq,6179
135,Ireland,24929
136,Israel,17012
137,Italy,232664
138,Jamaica,581
139,Japan,16716
140,Jordan,734
141,Kazakhstan,10382
142,Kenya,1888
143,"Korea, South",11468
144,Kuwait,26192
145,Kyrgyzstan,1722
146,Latvia,1065
147,Lebanon,1191
148,Liberia,280
149,Liechtenstein,82
150,Lithuania,1670
151,Luxembourg,4016
152,Madagascar,758
153,Malaysia,7762
154,Maldives,1672
155,Malta,618
156,Mauritania,483
157,Mauritius,335
158,Mexico,87512
159,Moldova,8098
160,Monaco,99
161,Mongolia,179
162,Montenegro,324
163,Morocco,7780
164,Namibia,23
165,Nepal,1401
166,Netherlands,101
167,Netherlands,19
168,Netherlands,77
169,Netherlands,46257
170,New Zealand,1504
171,Nicaragua,759
172,Niger,956
173,Nigeria,9855
174,North Macedonia,2164
175,Norway,8437
176,Oman,10423
177,Pakistan,66457
178,Panama,13018
179,Papua New Guinea,8
180,Paraguay,964
181,Peru,155671
182,Philippines,17224
183,Poland,23571
184,Portugal,32203
185,Qatar,55262
186,Romania,19133
187,Russia,396575
188,Rwanda,359
189,Saint Lucia,18
190,Saint Vincent and the Grenadines,26
191,San Marino,671
192,Saudi Arabia,83384
193,Senegal,3535
194,Serbia,11381
195,Seychelles,11
196,Singapore,34366
197,Slovakia,1521
198,Slovenia,1473
199,Somalia,1916
200,South Africa,30967
201,Spain,239228
202,Sri Lanka,1620
203,Sudan,4800
204,Suriname,14
205,Sweden,37113
206,Switzerland,30845
207,Taiwan*,442
208,Tanzania,509
209,Thailand,3077
210,Togo,433
211,Trinidad and Tobago,117
212,Tunisia,1076
213,Turkey,163103
214,Uganda,413
215,Ukraine,23204
216,United Arab Emirates,33896
217,United Kingdom,140
218,United Kingdom,141
219,United Kingdom,560
220,United Kingdom,169
221,United Kingdom,336
222,United Kingdom,11
223,United Kingdom,272826
224,Uruguay,821
225,US,1770165
226,Uzbekistan,3546
227,Venezuela,1459
228,Vietnam,328
229,Zambia,1057
230,Zimbabwe,174
231,Canada,1
232,Dominica,16
233,Grenada,23
234,Mozambique,244
235,Syria,122
236,Timor-Leste,24
237,Belize,18
238,Laos,19
239,Libya,130
240,West Bank and Gaza,447
241,Guinea-Bissau,1256
242,Mali,1250
243,Saint Kitts and Nevis,15
244,Canada,5
245,Canada,11
246,Kosovo,1064
247,Burma,224
248,United Kingdom,3
249,United Kingdom,8
250,United Kingdom,12
251,MS Zaandam,9
252,Botswana,35
253,Burundi,63
254,Sierra Leone,852
255,Netherlands,6
256,Malawi,279
257,United Kingdom,13
258,France,1
259,South Sudan,994
260,Western Sahara,9
261,Sao Tome and Principe,479
262,Yemen,310
263,Comoros,106
264,Tajikistan,3807
265,Lesotho,2
